;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
344;20241106.029;3;15;EHM001+2520;OP22
85;20241010.022;3;11;EJM013+2620;OP22
1611;20250408.053;1;11;EIM000+2520;OP23
704;20241128.068;3;10;EIM000+2520;OP22
1627;20250408.081;1;10;EIM000+2520;OP23
1626;20250408.080;1;10;EIM000+2520;OP23
1625;20250408.079;1;10;EIM000+2520;OP23
1613;20250408.057;1;10;EIM000+2520;OP23
1593;20250403.073;1;10;EIM000+2520;OP23
1589;20250403.069;1;10;EIM000+2520;OP23
1583;20250403.063;1;10;EIM000+2520;OP23
1606;20250408.043;3;8;EIM000+2520;OP23
974;20241212.021;3;8;EIM000+2520;OP22
973;20241212.020;3;8;EIM000+2520;OP22
934;20241211.023;3;8;AIM000+2520;OP22
932;20241211.021;3;8;AIM000+2520;OP22
417;20241112.081;3;8;EIM000+2614;OP22
414;20241112.077;3;8;EIM000+2614;OP22
413;20241112.076;3;8;EIM000+2614;OP22
84;20241010.020;3;8;EJM013+2620;OP22
1609;20250408.046;1;8;EIM000+2520;OP23
1570;20250403.046;1;8;EIM000+2520;OP23
1569;20250403.045;1;8;EIM000+2520;OP23
1567;20250403.043;1;8;EIM000+2520;OP23
1565;20250403.041;1;8;EIM000+2520;OP23
1558;20250403.034;1;8;EIM000+2520;OP23
1556;20250403.032;1;8;EIM000+2520;OP23
1555;20250403.031;1;8;EIM000+2520;OP23
1554;20250403.030;1;8;EIM000+2520;OP23
987;20241212.039;3;7;EIM000+2520;OP22
981;20241212.033;3;7;EIM000+2520;OP22
960;20241211.079;3;7;DIR001+2520;OP22
376;20241107.042;3;7;EHM004+2544;OP22
1600;20250403.080;1;7;EIM000+2520;OP23
1599;20250403.079;1;7;EIM000+2520;OP23
1598;20250403.078;1;7;EIM000+2520;OP23
1587;20250403.067;1;7;EIM000+2520;OP23
1562;20250403.038;1;7;EIM000+2520;OP23
1607;20250408.044;3;6;EIM000+2520;OP23
1090;20250226.064;3;6;DBM000-2520;OP23
965;20241212.010;3;6;EIM000+2520;OP22
959;20241211.077;3;6;DIR001+2520;OP22
635;20241127.040;3;6;EIM000+2520;OP22
399;20241112.062;3;6;EJM013+2620;OP22
398;20241112.061;3;6;EJM013+2620;OP22
397;20241112.060;3;6;EKM004+2620;OP22
393;20241112.056;3;6;EKM006+2620;OP22
392;20241112.055;3;6;EKM006+2620;OP22
181;20241023.064;3;6;EIM000+2520;OP22
1686;20250409.083;1;6;EIM000+2520;OP23
1684;20250409.081;1;6;EIM000+2520;OP23
1683;20250409.080;1;6;EIM000+2520;OP23
1623;20250408.076;1;6;EIM000+2520;OP23
1622;20250408.075;1;6;EIM000+2520;OP23
1582;20250403.062;1;6;EIM000+2520;OP23
1365;20250325.090;3;5;EIM000-2620;OP23
1094;20250226.072;3;5;DBM000-2520;OP23
961;20241211.080;3;5;DIR001+2520;OP22
623;20241127.027;3;5;EIM000+2520;OP22
406;20241112.069;3;5;EIM000+2614;OP22
402;20241112.065;3;5;EJM013+2620;OP22
401;20241112.064;3;5;EJM013+2620;OP22
400;20241112.063;3;5;EJM013+2620;OP22
396;20241112.059;3;5;EKM004+2620;OP22
343;20241106.028;3;5;EIM000+2520;OP22
310;20241105.054;3;5;EHM001+2520;OP22
305;20241105.049;3;5;EHM001+2520;OP22
300;20241105.043;3;5;EIM000+2520;OP22
298;20241105.040;3;5;EIM000+2520;OP22
296;20241105.038;3;5;EIM000+2520;OP22
294;20241105.036;3;5;EIM000+2520;OP22
288;20241105.030;3;5;EIM000+2520;OP22
287;20241105.029;3;5;EIM000+2520;OP22
286;20241105.028;3;5;EIM000+2520;OP22
165;20241023.040;3;5;EIM000+2520;OP22
1685;20250409.082;1;5;EIM000+2520;OP23
1621;20250408.073;1;5;EIM000+2520;OP23
1597;20250403.077;1;5;EIM000+2520;OP23
1595;20250403.075;1;5;EIM000+2520;OP23
1591;20250403.071;1;5;EIM000+2520;OP23
1588;20250403.068;1;5;EIM000+2520;OP23
1574;20250403.054;1;5;EIM000+2520;OP23
1573;20250403.053;1;5;EIM000+2520;OP23
1553;20250403.029;1;5;EIM000+2520;OP23
1552;20250403.028;1;5;EIM000+2520;OP23
1608;20250408.045;3;4;EIM000+2520;OP23
1471;20250401.086;3;4;DBM000+2520;OP23
1467;20250401.080;3;4;DBM000+2520;OP23
1465;20250401.077;3;4;DBM000+2520;OP23
1460;20250401.070;3;4;DBM000+2520;OP23
1459;20250401.069;3;4;DBM000+2520;OP23
1456;20250401.061;3;4;DBM000+2520;OP23
1260;20250313.019;3;4;EIM000-2520;OP23
1258;20250313.017;3;4;EIM000-2520;OP23
1125;20250304.086;3;4;EIM000-2520;OP23
1087;20250226.058;3;4;DBM000-2520;OP23
767;20241203.080;3;4;EIM000+2614;OP22
760;20241203.069;3;4;EIM000+2614;OP22
753;20241203.058;3;4;EIM000+2520;OP22
751;20241203.055;3;4;EIM000+2520;OP22
749;20241203.053;3;4;EIM000+2520;OP22
671;20241128.028;3;4;EIM000+2420;OP22
624;20241127.028;3;4;EIM000+2520;OP22
416;20241112.080;3;4;EIM000+2614;OP22
409;20241112.072;3;4;EIM000+2614;OP22
405;20241112.068;3;4;EIM000+2614;OP22
404;20241112.067;3;4;EIM000+2614;OP22
338;20241106.023;3;4;EIM000+2520;OP22
322;20241105.068;3;4;EIM000+2520;OP22
321;20241105.067;3;4;EIM000+2520;OP22
320;20241105.066;3;4;EIM000+2520;OP22
319;20241105.065;3;4;EIM000+2520;OP22
315;20241105.061;3;4;EIM000+2520;OP22
309;20241105.053;3;4;EHM001+2520;OP22
299;20241105.041;3;4;EIM000+2520;OP22
297;20241105.039;3;4;EIM000+2520;OP22
295;20241105.037;3;4;EIM000+2520;OP22
291;20241105.033;3;4;EIM000+2520;OP22
289;20241105.031;3;4;EIM000+2520;OP22
285;20241105.027;3;4;EIM000+2520;OP22
256;20241029.019;3;4;XIM001+2485;OP22
177;20241023.060;3;4;EIM000+2520;OP22
83;20241010.019;3;4;EJM013+2620;OP22
81;20241010.015;3;4;EJM013+2620;OP22
1620;20250408.071;2;4;EIM000+2520;OP23
1619;20250408.069;2;4;EIM000+2520;OP23
1624;20250408.078;1;4;EIM000+2520;OP23
1617;20250408.065;1;4;EIM000+2520;OP23
1614;20250408.059;1;4;EIM000+2520;OP23
1596;20250403.076;1;4;EIM000+2520;OP23
1495;20250402.042;1;4;KJM008+2520;OP23
1464;20250401.076;3;3;DBM000+2520;OP23
1461;20250401.072;3;3;DBM000+2520;OP23
1257;20250313.016;3;3;EIM000-2520;OP23
1163;20250306.023;3;3;EIM000-2520;OP23
1091;20250226.066;3;3;DBM000-2520;OP23
1089;20250226.062;3;3;DBM000-2520;OP23
962;20241211.082;3;3;DIR001+2520;OP22
958;20241211.076;3;3;DIR001+2520;OP22
949;20241211.041;3;3;AIM000+2520;OP22
948;20241211.039;3;3;AIM000+2520;OP22
947;20241211.038;3;3;AIM000+2520;OP22
946;20241211.037;3;3;AIM000+2520;OP22
937;20241211.026;3;3;AIM000+2520;OP22
930;20241211.019;3;3;AIM000+2520;OP22
929;20241211.018;3;3;AIM000+2520;OP22
762;20241203.071;3;3;EIM000+2614;OP22
759;20241203.068;3;3;EIM000+2614;OP22
756;20241203.064;3;3;EIM000+2614;OP22
754;20241203.060;3;3;EIM000+2614;OP22
750;20241203.054;3;3;EIM000+2520;OP22
576;20241126.009;3;3;EIM000+2520;OP22
555;20241121.046;3;3;EIM000+2520;OP22
410;20241112.073;3;3;EIM000+2614;OP22
304;20241105.048;3;3;EHM001+2520;OP22
303;20241105.047;3;3;EHM001+2520;OP22
292;20241105.034;3;3;EIM000+2520;OP22
290;20241105.032;3;3;EIM000+2520;OP22
261;20241029.025;3;3;XIM001+2485;OP22
255;20241029.018;3;3;XIM001+2485;OP22
254;20241029.017;3;3;XIM001+2485;OP22
253;20241029.016;3;3;XIM001+2485;OP22
204;20241024.024;3;3;EIM000+2520;OP22
179;20241023.062;3;3;EIM000+2520;OP22
166;20241023.042;3;3;EIM000+2520;OP22
164;20241023.038;3;3;EIM000+2520;OP22
161;20241023.034;3;3;EIM000+2520;OP22
1698;20250410.006;1;3;EIM000+2520;OP23
1618;20250408.067;1;3;EIM000+2520;OP23
1612;20250408.055;1;3;EIM000+2520;OP23
1610;20250408.051;1;3;EIM000+2520;OP23
1592;20250403.072;1;3;EIM000+2520;OP23
1580;20250403.060;1;3;EIM000+2520;OP23
1579;20250403.059;1;3;EIM000+2520;OP23
1578;20250403.058;1;3;EIM000+2520;OP23
1577;20250403.057;1;3;EIM000+2520;OP23
1576;20250403.056;1;3;EIM000+2520;OP23
1575;20250403.055;1;3;EIM000+2520;OP23
1572;20250403.052;1;3;EIM000+2520;OP23
1571;20250403.051;1;3;EIM000+2520;OP23
1568;20250403.044;1;3;EIM000+2520;OP23
1566;20250403.042;1;3;EIM000+2520;OP23
1564;20250403.040;1;3;EIM000+2520;OP23
1563;20250403.039;1;3;EIM000+2520;OP23
1560;20250403.036;1;3;EIM000+2520;OP23
1497;20250402.044;1;3;KJM008+2520;OP23
1468;20250401.081;3;2;DBM000+2520;OP23
1457;20250401.063;3;2;DBM000+2520;OP23
1448;20250401.050;3;2;DBM000+2520;OP23
1443;20250401.038;3;2;EIM000+2614;OP23
1432;20250401.014;3;2;EIM000+2520;OP23
1259;20250313.018;3;2;EIM000-2520;OP23
1251;20250313.009;3;2;EIM000-2520;OP23
1127;20250304.090;3;2;EIM000-2520;OP23
1122;20250304.083;3;2;EIM000-2520;OP23
1095;20250226.074;3;2;DBM000-2520;OP23
1092;20250226.068;3;2;DBM000-2520;OP23
1046;20250220.026;3;2;EIM000-2520;OP23
969;20241212.016;3;2;EIM000+2520;OP22
957;20241211.075;3;2;DIR001+2520;OP22
956;20241211.072;3;2;DIR001+2520;OP22
955;20241211.071;3;2;DIR001+2520;OP22
950;20241211.042;3;2;AIM000+2520;OP22
943;20241211.033;3;2;AIM000+2520;OP22
940;20241211.030;3;2;AIM000+2520;OP22
939;20241211.029;3;2;AIM000+2520;OP22
936;20241211.025;3;2;AIM000+2520;OP22
933;20241211.022;3;2;AIM000+2520;OP22
763;20241203.072;3;2;EIM000+2614;OP22
758;20241203.067;3;2;EIM000+2614;OP22
752;20241203.057;3;2;EIM000+2520;OP22
641;20241127.046;3;2;EIM000+2520;OP22
632;20241127.036;3;2;EIM000+2520;OP22
630;20241127.034;3;2;EIM000+2520;OP22
622;20241127.026;3;2;EIM000+2520;OP22
570;20241121.081;3;2;EIM000+2520;OP22
565;20241121.076;3;2;EIM000+2520;OP22
558;20241121.049;3;2;EIM000+2520;OP22
411;20241112.074;3;2;EIM000+2614;OP22
327;20241106.011;3;2;EIM004+2520;OP22
311;20241105.055;3;2;EIM000+2520;OP22
307;20241105.051;3;2;EHM001+2520;OP22
293;20241105.035;3;2;EIM000+2520;OP22
267;20241029.037;3;2;DIR001+2520;OP22
265;20241029.031;3;2;DIR001+2520;OP22
264;20241029.028;3;2;DIR001+2520;OP22
257;20241029.020;3;2;XIM001+2485;OP22
169;20241023.045;3;2;EIM000+2520;OP22
167;20241023.043;3;2;EIM000+2520;OP22
160;20241023.032;3;2;EIM000+2520;OP22
158;20241023.030;3;2;EIM000+2520;OP22
1559;20250403.035;2;2;EIM000+2520;OP23
724;20241203.007;2;2;EIM000+2520;OP22
1751;20250424.050;1;2;EIM000+2614;OP23
1616;20250408.063;1;2;EIM000+2520;OP23
1615;20250408.061;1;2;EIM000+2520;OP23
1594;20250403.074;1;2;EIM000+2520;OP23
1584;20250403.064;1;2;EIM000+2520;OP23
1487;20250402.033;1;2;KJM008+2520;OP23
151;20241023.020;1;2;EIM000+2520;OP22
1470;20250401.084;3;1;DBM000+2520;OP23
1469;20250401.083;3;1;DBM000+2520;OP23
1445;20250401.040;3;1;EIM000+2614;OP23
1444;20250401.039;3;1;EIM000+2614;OP23
1439;20250401.033;3;1;EIM000+2614;OP23
1437;20250401.027;3;1;EIM000+2614;OP23
1436;20250401.026;3;1;EIM000+2614;OP23
1435;20250401.025;3;1;EIM000+2614;OP23
1434;20250401.016;3;1;EIM000+2520;OP23
1433;20250401.015;3;1;EIM000+2520;OP23
1426;20250327.068;3;1;EIM000-1800;OP23
1256;20250313.015;3;1;EIM000-2520;OP23
1121;20250304.082;3;1;EIM000-2520;OP23
1088;20250226.060;3;1;DBM000-2520;OP23
1053;20250220.040;3;1;EIM000-2520;OP23
1040;20250220.013;3;1;EIM000-2520;OP23
1039;20250220.012;3;1;EIM000-2520;OP23
1003;20241212.061;3;1;EIM000+2520;OP22
1002;20241212.060;3;1;EIM000+2520;OP22
944;20241211.035;3;1;AIM000+2520;OP22
942;20241211.032;3;1;AIM000+2520;OP22
941;20241211.031;3;1;AIM000+2520;OP22
928;20241211.017;3;1;AIM000+2520;OP22
927;20241211.016;3;1;AIM000+2520;OP22
920;20241211.006;3;1;AIM000+2520;OP22
910;20241210.091;3;1;EIM000+2520;OP22
768;20241203.081;3;1;EIM000+2614;OP22
766;20241203.076;3;1;EIM000+2614;OP22
764;20241203.073;3;1;EIM000+2614;OP22
757;20241203.065;3;1;EIM000+2614;OP22
747;20241203.045;3;1;EIM000+2520;OP22
742;20241203.036;3;1;EIM000+2520;OP22
741;20241203.035;3;1;EIM000+2520;OP22
740;20241203.034;3;1;EIM000+2520;OP22
738;20241203.032;3;1;EIM000+2520;OP22
643;20241127.048;3;1;EIM000+2520;OP22
642;20241127.047;3;1;EIM000+2520;OP22
634;20241127.039;3;1;EIM000+2520;OP22
625;20241127.029;3;1;EIM000+2520;OP22
617;20241127.019;3;1;EIM000+2520;OP22
616;20241127.018;3;1;EIM000+2520;OP22
579;20241126.012;3;1;EIM000+2520;OP22
575;20241126.008;3;1;EIM000+2520;OP22
574;20241126.007;3;1;EIM000+2520;OP22
569;20241121.080;3;1;EIM000+2520;OP22
567;20241121.078;3;1;EIM000+2520;OP22
557;20241121.048;3;1;EIM000+2520;OP22
525;20241121.014;3;1;EIM000+2520;OP22
510;20241119.089;3;1;EIM000+2614;OP22
504;20241119.072;3;1;EIM000+2614;OP22
502;20241119.068;3;1;EIM000+2614;OP22
498;20241119.062;3;1;EIM000+2614;OP22
489;20241119.039;3;1;EIM000+2520;OP22
482;20241119.021;3;1;EIM000+2520;OP22
481;20241119.020;3;1;EIM000+2520;OP22
480;20241119.014;3;1;EIM000+2520;OP22
456;20241114.022;3;1;FTM004+2585;OP22
415;20241112.078;3;1;EIM000+2614;OP22
412;20241112.075;3;1;EIM000+2614;OP22
408;20241112.071;3;1;EIM000+2614;OP22
395;20241112.058;3;1;EKM004+2620;OP22
394;20241112.057;3;1;EKM004+2620;OP22
380;20241112.017;3;1;KJM008+2620;OP22
373;20241107.035;3;1;EHM006+2556;OP22
372;20241107.026;3;1;EHM006+2556;OP22
371;20241107.024;3;1;EHM006+2556;OP22
364;20241106.052;3;1;DBM000+2520;OP22
316;20241105.062;3;1;EIM000+2520;OP22
314;20241105.060;3;1;EIM000+2520;OP22
312;20241105.057;3;1;EIM000+2520;OP22
284;20241105.026;3;1;EIM000+2520;OP22
283;20241105.024;3;1;EIM000+2520;OP22
280;20241105.021;3;1;EIM000+2520;OP22
268;20241029.039;3;1;DIR001+2520;OP22
260;20241029.024;3;1;XIM001+2485;OP22
184;20241023.067;3;1;EIM000+2520;OP22
168;20241023.044;3;1;EIM000+2520;OP22
162;20241023.035;3;1;EIM000+2520;OP22
93;20241010.041;3;1;EIM000+2520;OP22
82;20241010.017;3;1;EJM013+2620;OP22
80;20241010.014;3;1;EJM013+2620;OP22
49;20241001.060;3;1;KJM008+2520;OP22
39;20241001.025;3;1;KJM001+2650;OP22
32;20241001.009;3;1;KJM001+2650;OP22
203;20241024.023;2;1;EIM000+2520;OP22
199;20241024.019;2;1;EIM000+2520;OP22
154;20241023.024;2;1;EIM000+2520;OP22
40;20241001.026;2;1;KJM001+2650;OP22
38;20241001.021;2;1;KJM001+2650;OP22
1790;20250514.022;1;1;EIM000+2520;OP23
1697;20250410.005;1;1;EIM000+2520;OP23
1687;20250409.085;1;1;EIM000+2520;OP23
1557;20250403.033;1;1;EIM000+2520;OP23
1501;20250402.051;1;1;KJM008+2520;OP23
1030;20250218.085;1;1;EIM000-2520;OP23
41;20241001.028;1;1;KJM001+2650;OP22
1463;20250401.075;2;0;DBM000+2520;OP23
1462;20250401.074;2;0;DBM000+2520;OP23
1458;20250401.065;2;0;DBM000+2520;OP23
1455;20250401.060;2;0;DBM000+2520;OP23
1454;20250401.059;2;0;DBM000+2520;OP23
1453;20250401.058;2;0;DBM000+2520;OP23
1452;20250401.057;2;0;DBM000+2520;OP23
1450;20250401.053;2;0;DBM000+2520;OP23
1449;20250401.052;2;0;DBM000+2520;OP23
1430;20250401.012;2;0;EIM000+2520;OP23
1294;20250318.066;2;0;EIM000-1800;OP23
1293;20250318.065;2;0;EIM000-1800;OP23
1162;20250306.015;2;0;EIM000-2520;OP23
1161;20250306.014;2;0;EIM000-2520;OP23
1160;20250306.013;2;0;EIM000-2520;OP23
1159;20250306.012;2;0;EIM000-2520;OP23
1158;20250306.011;2;0;EIM000-2520;OP23
1157;20250306.009;2;0;EIM000-2520;OP23
1126;20250304.089;2;0;EIM000-2520;OP23
1120;20250304.081;2;0;EIM000-2520;OP23
1076;20250226.038;2;0;DBM000-2520;OP23
1060;20250225.049;2;0;EIM000-2520;OP23
1043;20250220.017;2;0;EIM000-2520;OP23
1001;20241212.059;2;0;EIM000+2520;OP22
997;20241212.053;2;0;EIM000+2520;OP22
951;20241211.049;2;0;DIR001+2520;OP22
945;20241211.036;2;0;AIM000+2520;OP22
926;20241211.015;2;0;AIM000+2520;OP22
765;20241203.074;2;0;EIM000+2614;OP22
761;20241203.070;2;0;EIM000+2614;OP22
743;20241203.038;2;0;EIM000+2520;OP22
736;20241203.030;2;0;EIM000+2520;OP22
735;20241203.029;2;0;EIM000+2520;OP22
734;20241203.028;2;0;EIM000+2520;OP22
733;20241203.027;2;0;EIM000+2520;OP22
629;20241127.033;2;0;EIM000+2520;OP22
626;20241127.030;2;0;EIM000+2520;OP22
613;20241127.008;2;0;EIM000+2520;OP22
584;20241126.020;2;0;EIM000+2520;OP22
578;20241126.011;2;0;EIM000+2520;OP22
573;20241126.006;2;0;EIM000+2520;OP22
556;20241121.047;2;0;EIM000+2520;OP22
383;20241112.023;2;0;KJM008+2620;OP22
369;20241106.057;2;0;DBM000+2520;OP22
368;20241106.056;2;0;DBM000+2520;OP22
367;20241106.055;2;0;DBM000+2520;OP22
366;20241106.054;2;0;DBM000+2520;OP22
365;20241106.053;2;0;DBM000+2520;OP22
363;20241106.051;2;0;DBM000+2520;OP22
362;20241106.050;2;0;DBM000+2520;OP22
282;20241105.023;2;0;EIM000+2520;OP22
281;20241105.022;2;0;EIM000+2520;OP22
279;20241105.020;2;0;EIM000+2520;OP22
277;20241105.018;2;0;EIM000+2520;OP22
276;20241105.017;2;0;EIM000+2520;OP22
272;20241105.011;2;0;EIM000+2520;OP22
266;20241029.035;2;0;DIR001+2520;OP22
259;20241029.023;2;0;XIM001+2485;OP22
258;20241029.022;2;0;XIM001+2485;OP22
252;20241029.015;2;0;XIM001+2485;OP22
250;20241029.012;2;0;XIM001+2485;OP22
249;20241029.011;2;0;XIM001+2485;OP22
209;20241024.034;2;0;EIM000+2520;OP22
208;20241024.033;2;0;EIM000+2520;OP22
206;20241024.029;2;0;EIM000+2520;OP22
178;20241023.061;2;0;EIM000+2520;OP22
156;20241023.027;2;0;EIM000+2520;OP22
153;20241023.022;2;0;EIM000+2520;OP22
96;20241010.044;2;0;EIM000+2520;OP22
94;20241010.042;2;0;EIM000+2520;OP22
92;20241010.040;2;0;EIM000+2520;OP22
91;20241010.039;2;0;EIM000+2520;OP22
90;20241010.038;2;0;EIM000+2520;OP22
89;20241010.037;2;0;EIM000+2520;OP22
88;20241010.036;2;0;EIM000+2520;OP22
86;20241010.033;2;0;EIM000+2520;OP22
77;20241010.008;2;0;EKM006+2620;OP22
75;20241010.006;2;0;EKM006+2620;OP22
74;20241010.005;2;0;EKM006+2620;OP22
47;20241001.058;2;0;KJM008+2520;OP22
37;20241001.020;2;0;KJM001+2650;OP22
13;20240926.007;2;0;EIM000+2520;OP22
10;20240925.060;2;0;EJM007+2520;OP22
1646;20250409.027;1;0;DBM000+2520;OP23
1500;20250402.048;1;0;KJM008+2520;OP23
1498;20250402.046;1;0;KJM008+2520;OP23
1494;20250402.041;1;0;KJM008+2520;OP23
1466;20250401.079;1;0;DBM000+2520;OP23
1451;20250401.055;1;0;DBM000+2520;OP23
1431;20250401.013;1;0;EIM000+2520;OP23
1429;20250401.008;1;0;EIM000+2520;OP23
1428;20250401.007;1;0;EIM000+2520;OP23
1353;20250325.064;1;0;EJM006-2520;OP23
1352;20250325.062;1;0;EJM006-2520;OP23
1332;20250320.081;1;0;EIM000-2520;OP23
1292;20250318.064;1;0;EIM000-1800;OP23
1271;20250313.043;1;0;EIM000-2620;OP23
1255;20250313.014;1;0;EIM000-2520;OP23
1254;20250313.013;1;0;EIM000-2520;OP23
1253;20250313.012;1;0;EIM000-2520;OP23
1156;20250306.008;1;0;EIM000-2520;OP23
1155;20250306.006;1;0;EIM000-2520;OP23
1124;20250304.085;1;0;EIM000-2520;OP23
1123;20250304.084;1;0;EIM000-2520;OP23
1119;20250304.080;1;0;EIM000-2520;OP23
1118;20250304.079;1;0;EIM000-2520;OP23
1117;20250304.078;1;0;EIM000-2520;OP23
1116;20250304.077;1;0;EIM000-2520;OP23
1115;20250304.076;1;0;EIM000-2520;OP23
1114;20250304.073;1;0;EIM000-2520;OP23
1077;20250226.041;1;0;DBM000-2520;OP23
